Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,23C,22,0,#07: faltar,182742,66767,55352,Regular,DativeExp,,,Aspect,Preterit,APST,Comprehension,,,E,Regular stative with durante,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,13C,23,1,valorar,113028,,,Regular,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Comprehension,,,C,[–F/+F],Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,43C,24,1,pensar,235846,,,Irregular,Canonical,expresar,,Mood,Indicative,APST,Comprehension,,,I,Indicative filler,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,33C,25,1,#07: faltar,182742,66767,55352,Regular,DativeExp,,,Aspect,Imperfect,APST,Comprehension,,,G,Regular stative with entre,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,8C,26,1,#03: permitir,935997,,,Irregular,Canonical,#01: quedar,947469,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,B,[+F/–F],Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,28C,27,1,#06: creer,537246,33274,70392,Irregular,Canonical,,,Aspect,Preterit,APST,Comprehension,,,F,Irregular stative with durante,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,18C,28,1,#07: sugerir,88224,,,Irregular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Infrequent,,D,[–F/–F],Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,48C,29,0,#10: excluir,53412,6569,1574,Irregular,Canonical,,,Aspect,Imperfect,APST,Comprehension,,,J,Regular imperfect filler,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,38C,30,1,#05: gustar,541858,94346,59408,Irregular,Canonical,,,Aspect,Preterit,APST,Comprehension,,,H,Irregular stative with entre,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,4C,31,1,#02: querer,1263949,,,Irregular,Canonical,#01: quedar,947469,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,24C,32,1,#09: doler,69627,11678,6450,Regular,DativeExp,,,Aspect,Preterit,APST,Comprehension,,,E,Regular stative with durante,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,14C,33,1,conseguir,129144,,,Irregular,Canonical,#06: viajar,78141,Mood,Subjunctive,MPST,Comprehension,,,C,[–F/+F],Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,44C,34,1,saber,811943,,,Irregular,Canonical,hablar,,Mood,Indicative,APST,Comprehension,,,I,Indicative filler,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,34C,35,0,#08: amar,80242,5580,14966,Regular,Canonical,,,Aspect,Imperfect,APST,Comprehension,,,G,Regular stative with entre,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,9C,36,1,#04: necesitar,593469,,,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,B,[+F/–F],Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,29C,37,0,#02: tener,8031798,2061773,1797701,Irregular,Canonical,,,Aspect,Preterit,APST,Comprehension,,,F,Irregular stative with durante,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,19C,38,1,#08: ordenar,65158,,,Regular,Canonical,#07: prestar,73724,Mood,Subjunctive,MPST,Comprehension,Infrequent,,D,[–F/–F],Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,49C,39,1,#05: gustar,541858,94346,59408,Irregular,Canonical,,,Aspect,Imperfect,APST,Comprehension,,,J,Regular imperfect filler,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,39C,40,0,#06: creer,537246,33274,70392,Irregular,Canonical,,,Aspect,Preterit,APST,Comprehension,,,H,Irregular stative with entre,Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,5C,41,1,#01: esperar,1409514,,,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Herencia,Receptiva
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,25C,42,0,#08: amar,80242,5580,14966,Regular,Canonical,,,Aspect,Preterit,APST,Comprehension,,,E,Regular stative with durante,Herencia,Receptiva
