Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,40C,50,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Herencia,Receptiva,25,-4995,-0.4799948198063511,-0.5488492285398391,-0.3871301129114407,-1.0898408207134422,-0.18021586361400402,-0.6162331019939997,-0.2830351561604717,-0.6088937129426447,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,21C,2,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Herencia,Receptiva,43,-95053,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.46944675056479973,-0.43221363677725044,-0.280756706709481,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,26C,7,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Herencia,Receptiva,43,-4995,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.6162331019939997,-0.2830351561604717,-0.6088937129426447,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,37C,10,1,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Herencia,Receptiva,43,1306223,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,2.106351777154309,1.8889596582632482,1.1432555508598077,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,22C,12,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Herencia,Receptiva,43,-34938,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.48492266394547884,-0.3326348724000973,-0.47708722030966894,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,27C,17,0,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Herencia,Receptiva,43,1306223,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,2.106351777154309,1.8889596582632482,1.1432555508598077,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,36C,20,0,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Herencia,Receptiva,43,-264072,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,1.5286209055732358,-0.7121887374386833,2.4772134778392516,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,23C,22,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Herencia,Receptiva,43,-11415,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.5814649209610601,-0.29366970107108176,-0.5185000193381711,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,28C,27,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Herencia,Receptiva,43,37118,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.4861625220675226,-0.21327618578344354,-0.5687933177848743,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,38C,30,1,#05: gustar,gustar,541858,94346,59408,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Herencia,Receptiva,43,-34938,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.48492266394547884,-0.3326348724000973,-0.47708722030966894,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,24C,32,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Herencia,Receptiva,43,-5228,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.6118739737526858,-0.283421113943053,-0.6012220065632757,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,29C,37,0,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Herencia,Receptiva,43,-264072,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,1.5286209055732358,-0.7121887374386833,2.4772134778392516,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,39C,40,0,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Herencia,Receptiva,43,37118,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.4861625220675226,-0.21327618578344354,-0.5687933177848743,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,25C,42,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Herencia,Receptiva,43,9386,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.6090203107072621,-0.25921344426647125,-0.6103788015332097,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,35C,45,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,G,Regular stative with entre,Herencia,Receptiva,43,-95053,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.46944675056479973,-0.43221363677725044,-0.280756706709481,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,30C,47,1,#05: gustar,gustar,541858,94346,59408,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Herencia,Receptiva,43,-34938,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.48492266394547884,-0.3326348724000973,-0.47708722030966894,NA,-0.48349469565061814
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,40C,50,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Herencia,Receptiva,43,-4995,1.9141962091072549,1.8498641944644107,1.8615823031583312,0.3363474257029416,0.16651123520229363,-0.6162331019939997,-0.2830351561604717,-0.6088937129426447,NA,-0.48349469565061814
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,40C,2,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Herencia,Receptiva,31,-4995,0.3180688564981842,0.2507219124615775,0.36244069244514987,-1.0898408207134422,0.16651123520229363,-0.6162331019939997,-0.2830351561604717,-0.6088937129426447,NA,-0.32990006771891667
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,30C,4,1,#05: gustar,gustar,541858,94346,59408,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Herencia,Receptiva,31,-34938,0.3180688564981842,0.2507219124615775,0.36244069244514987,-1.0898408207134422,0.16651123520229363,-0.48492266394547884,-0.3326348724000973,-0.47708722030966894,NA,-0.32990006771891667
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,35C,7,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,G,Regular stative with entre,Herencia,Receptiva,31,-95053,0.3180688564981842,0.2507219124615775,0.36244069244514987,-1.0898408207134422,0.16651123520229363,-0.46944675056479973,-0.43221363677725044,-0.280756706709481,NA,-0.32990006771891667
