Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,6,6,0,querer,1263949,0,Canonical,,robar,28182,Mood,Subjunctive,B,[+F/–F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,16,8,0,sugerir,88224,0,Canonical,,viajar,78141,Mood,Subjunctive,D,[–F/–F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,2,11,0,pedir,432187,0,Canonical,,quedar,947469,Mood,Subjunctive,A,[+F/+F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,12,13,1,sugerir,88224,0,Canonical,,dejar,696519,Mood,Subjunctive,C,[–F/+F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,7,16,0,pedir,432187,0,Canonical,,bailar,29935,Mood,Subjunctive,B,[+F/–F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,17,18,0,conseguir,129144,0,Canonical,,atar,15876,Mood,Subjunctive,D,[–F/–F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,3,21,0,permitir,935997,0,Canonical,,enviar,766523,Mood,Subjunctive,A,[+F/+F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,13,23,0,valorar,113028,1,Canonical,,quedar,947469,Mood,Subjunctive,C,[–F/+F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,8,26,0,permitir,935997,0,Canonical,,viajar,78141,Mood,Subjunctive,B,[+F/–F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,18,28,0,desear,148807,1,Canonical,,robar,28182,Mood,Subjunctive,D,[–F/–F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,4,31,0,querer,1263949,0,Canonical,,tratar,590952,Mood,Subjunctive,A,[+F/+F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,14,33,0,ordenar,65158,1,Canonical,,tratar,590952,Mood,Subjunctive,C,[–F/+F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,9,36,0,necesitar,593469,1,Canonical,,prestar,73724,Mood,Subjunctive,B,[+F/–F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,19,38,0,valorar,113028,1,Canonical,,prestar,73724,Mood,Subjunctive,D,[–F/–F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,5,41,0,necesitar,593469,1,Canonical,,tomar,506707,Mood,Subjunctive,A,[+F/+F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,15,43,0,conseguir,129144,0,Canonical,,enviar,766523,Mood,Subjunctive,C,[–F/+F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,10,46,0,esperar,1409514,1,Canonical,,atar,15876,Mood,Subjunctive,B,[+F/–F]
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,20,48,0,ordenar,65158,1,Canonical,,bailar,29935,Mood,Subjunctive,D,[–F/–F]
