Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition,FofA,FofA_Std,Token_Main_Lemma_Std,Token_Sub_Std,Token_Pret_Std,LOR_Std,DELE_Std
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,4,31,1,querer,1263949,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,A,[+F/+F],23,-0.6686584044108851,1.5168112616950589,1.7428375487463559,NA,-0.37120097411672437,1.1830577088070182
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,14,33,1,conseguir,129144,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,FCT,C,[–F/+F],23,-0.6686584044108851,-0.7989468264689892,-0.7467312120510448,NA,-0.37120097411672437,1.1830577088070182
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,9,36,1,necesitar,593469,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,B,[+F/–F],23,-0.6686584044108851,0.1485854581850012,1.2246470510386476,NA,-0.37120097411672437,1.1830577088070182
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,19,38,1,ordenar,65158,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,FCT,D,[–F/–F],23,-0.6686584044108851,-0.9295208872364908,-0.7593805517898339,NA,-0.37120097411672437,1.1830577088070182
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,5,41,1,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,A,[+F/+F],23,-0.6686584044108851,1.8138608218429253,1.2246470510386476,NA,-0.37120097411672437,1.1830577088070182
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,15,43,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,FCT,C,[–F/+F],23,-0.6686584044108851,-0.7588212090390609,-0.8898030626306618,NA,-0.37120097411672437,1.1830577088070182
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,10,46,0,pedir,432187,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,FCT,B,[+F/–F],23,-0.6686584044108851,-0.18053725098113216,0.7218493994020267,NA,-0.37120097411672437,1.1830577088070182
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,20,48,1,valorar,113028,NA,NA,1,Canonical,viajar,78141,Mood,Subjunctive,FCT,D,[–F/–F],23,-0.6686584044108851,-0.831834201259241,-0.7467312120510448,NA,-0.37120097411672437,1.1830577088070182
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,1,1,1,permitir,935997,NA,NA,0,Canonical,tomar,506707,Mood,Subjunctive,FCT,A,[+F/+F],25,-0.3999806800505521,0.8475707344418515,0.4805898054934249,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,11,3,1,sugerir,88224,NA,NA,0,Canonical,prestar,73724,Mood,Subjunctive,FCT,C,[–F/+F],25,-0.3999806800505521,-0.8824508830845953,-0.7593805517898339,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,6,6,1,querer,1263949,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,FCT,B,[+F/–F],25,-0.3999806800505521,1.5168112616950589,1.0241706238088089,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,16,8,1,desear,148807,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,FCT,D,[–F/–F],25,-0.3999806800505521,-0.7588212090390609,-0.8847828469725008,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,2,11,1,pedir,432187,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,FCT,A,[+F/+F],25,-0.3999806800505521,-0.18053725098113216,1.0241706238088089,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,12,13,1,ordenar,65158,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,FCT,C,[–F/+F],25,-0.3999806800505521,-0.9295208872364908,-0.9250448047238335,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,7,16,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,FCT,B,[+F/–F],25,-0.3999806800505521,1.8138608218429253,-0.9250448047238335,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,17,18,1,conseguir,129144,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,FCT,D,[–F/–F],25,-0.3999806800505521,-0.7989468264689892,-0.8898030626306618,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,3,21,1,necesitar,593469,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,FCT,A,[+F/+F],25,-0.3999806800505521,0.1485854581850012,0.7218493994020267,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,13,23,1,valorar,113028,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,FCT,C,[–F/+F],25,-0.3999806800505521,-0.831834201259241,-0.8847828469725008,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,8,26,1,permitir,935997,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,B,[+F/–F],25,-0.3999806800505521,0.8475707344418515,1.7428375487463559,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,18,28,1,sugerir,88224,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,FCT,D,[–F/–F],25,-0.3999806800505521,-0.8824508830845953,-0.9250448047238335,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,4,31,1,querer,1263949,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,A,[+F/+F],25,-0.3999806800505521,1.5168112616950589,1.7428375487463559,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,14,33,0,conseguir,129144,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,FCT,C,[–F/+F],25,-0.3999806800505521,-0.7989468264689892,-0.7467312120510448,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,9,36,1,necesitar,593469,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,B,[+F/–F],25,-0.3999806800505521,0.1485854581850012,1.2246470510386476,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,19,38,1,ordenar,65158,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,FCT,D,[–F/–F],25,-0.3999806800505521,-0.9295208872364908,-0.7593805517898339,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,5,41,1,esperar,1409514,NA,NA,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,A,[+F/+F],25,-0.3999806800505521,1.8138608218429253,1.2246470510386476,NA,-0.4954635084789066,-0.10161231854784188
HSP02,53,Female,Heritage,Simultaneous,02,20,0,0,0,32,3,38,12,13,B,15,43,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,FCT,C,[–F/+F],25,-0.3999806800505521,-0.7588212090390609,-0.8898030626306618,NA,-0.4954635084789066,-0.10161231854784188
