Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,21,2,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,26,7,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,37,10,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,22,12,0,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,27,17,0,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,36,20,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,23,22,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,28,27,1,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,38,30,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,24,32,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,29,37,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,39,40,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,25,42,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,35,45,0,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,30,47,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP03,2,Female,Heritage,Sequential,27,0,3,0,35,4,40,21,22,B,40,50,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,40,2,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,30,4,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,35,7,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,25,9,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,39,12,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,29,14,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,34,17,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,24,19,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,38,22,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,28,24,1,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,33,27,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,G,Regular stative with entre
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,23,29,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,36,32,1,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,27,34,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,32,37,1,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,G,Regular stative with entre
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,22,39,0,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,37,42,0,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,26,44,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,31,47,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,G,Regular stative with entre
HSP04,23,Female,Heritage,Simultaneous,21,0,0,0.33,37,3,40,15,16,A,21,49,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,40,2,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,30,4,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,35,7,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
HSP05,18,Male,Heritage,Simultaneous,20,0,0,0,27,3,40,12,21,A,25,9,0,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
