Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,16C,8,1,#06: desear,148807,NA,NA,Regular,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,-0.945509093032653,NA,NA,-1.1169440519248854,-1.2795754129106027
SBC15,107,Female,Comparison,Comparison,21,2,0,8,16,40,10,46,Advanced,Native Range,20,21,B,15C,43,1,#06: desear,148807,NA,NA,Regular,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Comprehension,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,41,NA,0.5925157658521228,0.5253985335062608,0.43828639765106736,-0.8378536402209009,-1.021591868410028,-0.945509093032653,NA,NA,-1.1218230933317923,-1.2795754129106027
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,5C,10,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,42,NA,0.7536531979252213,0.7627550474667361,0.43828639765106736,0.275419016681611,-0.14983347403347078,1.585364136799683,NA,NA,0.9331662457538138,0.0636639489201009
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,5C,41,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,42,NA,0.7536531979252213,0.7627550474667361,0.43828639765106736,0.275419016681611,-0.14983347403347078,1.585364136799683,NA,NA,0.9331662457538138,0.0636639489201009
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,7C,16,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Frequent,NA,B,[+F/–F],Comparación,Receptiva,42,NA,0.7536531979252213,0.7627550474667361,0.43828639765106736,-1.3017172472636143,0.7219249203430864,1.585364136799683,NA,NA,-1.1560737970131367,-0.47363179581218057
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,5C,41,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,42,NA,0.7536531979252213,0.7627550474667361,0.43828639765106736,-1.3017172472636143,0.7219249203430864,1.585364136799683,NA,NA,0.9331662457538138,-0.47363179581218057
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,7C,16,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Frequent,NA,B,[+F/–F],Comparación,Receptiva,32,NA,-0.8577211228057634,-0.4240275223356405,-1.0590621494842505,-0.18844459036110228,1.5936833147196436,1.585364136799683,NA,NA,-1.1560737970131367,1.138255438384664
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,5C,41,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,32,NA,-0.8577211228057634,-0.4240275223356405,-1.0590621494842505,-0.18844459036110228,1.5936833147196436,1.585364136799683,NA,NA,0.9331662457538138,1.138255438384664
SBC05,13,Female,Comparison,Comparison,41,2,0,39,39,40,10,45,Advanced,Native Range,8,24,B,7C,16,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#10: atar,15876,Mood,Subjunctive,MPST,Comprehension,Frequent,NA,B,[+F/–F],Comparación,Receptiva,32,NA,-0.8577211228057634,-2.322879634019443,1.3366955259322582,2.0381007234439217,-1.8933502627865852,1.585364136799683,NA,NA,-1.1560737970131367,1.8098751193000158
SBC05,13,Female,Comparison,Comparison,41,2,0,39,39,40,10,45,Advanced,Native Range,8,24,B,5C,41,1,#01: esperar,1409514,NA,NA,Regular,Canonical,#02: enviar,766523,Mood,Subjunctive,MPST,Comprehension,Frequent,Frequent,A,[+F/+F],Comparación,Receptiva,32,NA,-0.8577211228057634,-2.322879634019443,1.3366955259322582,2.0381007234439217,-1.8933502627865852,1.585364136799683,NA,NA,0.9331662457538138,1.8098751193000158
