Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,ExpForm,ExpLI,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,Tarea_1,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,24P,32,1,1,#05: gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,E,Regular stative with durante,Comparación,Producción,Producción,42,-34938,0.692841764235551,0.6942559194279135,0.4249363568911372,0.23575760680722083,-0.31472037278110515,-0.5797678497179639,-0.41626454564066134,-0.5579418852574557,NA,-0.04963061485853008
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,34P,35,1,1,#04: vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,G,Regular stative with entre,Comparación,Producción,Producción,42,-95053,0.692841764235551,0.6942559194279135,0.4249363568911372,0.23575760680722083,-0.31472037278110515,-0.5648436388286252,-0.478993289903582,-0.3693558077836404,NA,-0.04963061485853008
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,29P,37,1,1,#02: tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,F,Irregular stative with durante,Comparación,Producción,Producción,42,-264072,0.692841764235551,0.6942559194279135,0.4249363568911372,0.23575760680722083,-0.31472037278110515,1.3619946897316082,-0.6553610787512004,2.2798237280726856,NA,-0.04963061485853008
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,39P,40,0,0,#01: estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,H,Irregular stative with entre,Comparación,Producción,Producción,42,1306223,0.692841764235551,0.6942559194279135,0.4249363568911372,0.23575760680722083,-0.31472037278110515,1.9191299716802477,0.9832088866874249,0.9984849878478718,NA,-0.04963061485853008
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,25P,42,1,1,#07: faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,E,Regular stative with durante,Comparación,Producción,Producción,42,-11415,0.692841764235551,0.6942559194279135,0.4249363568911372,0.23575760680722083,-0.31472037278110515,-0.6728684614874804,-0.3917187874888409,-0.5977211186674027,NA,-0.04963061485853008
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,35P,45,1,1,#09: doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,G,Regular stative with entre,Comparación,Producción,Producción,42,-5228,0.692841764235551,0.6942559194279135,0.4249363568911372,0.23575760680722083,-0.31472037278110515,-0.7021934587037248,-0.38526278248585183,-0.6771800616791355,NA,-0.04963061485853008
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,30P,47,1,1,#06: creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,F,Irregular stative with durante,Comparación,Producción,Producción,42,37118,0.692841764235551,0.6942559194279135,0.4249363568911372,0.23575760680722083,-0.31472037278110515,-0.5809635080052054,-0.3410756178088555,-0.6460305520986134,NA,-0.04963061485853008
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,40P,50,1,1,#03: haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,H,Irregular stative with entre,Comparación,Producción,Producción,42,3136079,0.692841764235551,0.6942559194279135,0.4249363568911372,0.23575760680722083,-0.31472037278110515,1.270560273931758,2.8926253228842294,0.7736823408214853,NA,-0.04963061485853008
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,40P,2,1,1,#03: haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,H,Irregular stative with entre,Comparación,Producción,Producción,42,3136079,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,1.270560273931758,2.8926253228842294,0.7736823408214853,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,30P,4,1,1,#06: creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,F,Irregular stative with durante,Comparación,Producción,Producción,42,37118,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.5809635080052054,-0.3410756178088555,-0.6460305520986134,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,35P,7,0,0,#09: doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,G,Regular stative with entre,Comparación,Producción,Producción,42,-5228,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.7021934587037248,-0.38526278248585183,-0.6771800616791355,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,25P,9,1,1,#07: faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,E,Regular stative with durante,Comparación,Producción,Producción,42,-11415,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.6728684614874804,-0.3917187874888409,-0.5977211186674027,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,39P,12,1,1,#01: estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,H,Irregular stative with entre,Comparación,Producción,Producción,42,1306223,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,1.9191299716802477,0.9832088866874249,0.9984849878478718,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,29P,14,1,1,#02: tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,F,Irregular stative with durante,Comparación,Producción,Producción,42,-264072,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,1.3619946897316082,-0.6553610787512004,2.2798237280726856,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,34P,17,1,1,#04: vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,G,Regular stative with entre,Comparación,Producción,Producción,42,-95053,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.5648436388286252,-0.478993289903582,-0.3693558077836404,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,24P,19,0,0,#05: gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,E,Regular stative with durante,Comparación,Producción,Producción,42,-34938,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.5797678497179639,-0.41626454564066134,-0.5579418852574557,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,38P,22,1,1,#06: creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,H,Irregular stative with entre,Comparación,Producción,Producción,42,37118,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.5809635080052054,-0.3410756178088555,-0.6460305520986134,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,28P,24,1,1,#10: excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,F,Irregular stative with durante,Comparación,Producción,Producción,42,-4995,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.7063971879161318,-0.38501965186265863,-0.6845491506051813,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,33P,27,1,1,#07: faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,G,Regular stative with entre,Comparación,Producción,Producción,42,-11415,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.6728684614874804,-0.3917187874888409,-0.5977211186674027,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,23P,29,1,1,#04: vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,E,Regular stative with durante,Comparación,Producción,Producción,42,-95053,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.5648436388286252,-0.478993289903582,-0.3693558077836404,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,37P,32,1,1,#02: tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,H,Irregular stative with entre,Comparación,Producción,Producción,42,-264072,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,1.3619946897316082,-0.6553610787512004,2.2798237280726856,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,27P,34,1,1,#01: estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,F,Irregular stative with durante,Comparación,Producción,Producción,42,1306223,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,1.9191299716802477,0.9832088866874249,0.9984849878478718,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,32P,37,1,1,#08: amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,G,Regular stative with entre,Comparación,Producción,Producción,42,9386,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.6994415261974222,-0.3700133793641963,-0.685975658522163,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,22P,39,1,1,#08: amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,E,Regular stative with durante,Comparación,Producción,Producción,42,9386,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.6994415261974222,-0.3700133793641963,-0.685975658522163,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,36P,42,1,1,#02: tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,H,Irregular stative with entre,Comparación,Producción,Producción,42,-264072,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,1.3619946897316082,-0.6553610787512004,2.2798237280726856,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,26P,44,1,1,#03: haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,F,Irregular stative with durante,Comparación,Producción,Producción,42,3136079,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,1.270560273931758,2.8926253228842294,0.7736823408214853,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,31P,47,1,1,#05: gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,G,Regular stative with entre,Comparación,Producción,Producción,42,-34938,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.5797678497179639,-0.41626454564066134,-0.5579418852574557,NA,-0.6203826857316234
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,21P,49,0,0,#09: doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,E,Regular stative with durante,Comparación,Producción,Producción,42,-5228,0.692841764235551,0.6942559194279135,0.4249363568911372,-1.3535738459793893,0.48956502432616544,-0.7021934587037248,-0.38526278248585183,-0.6771800616791355,NA,-0.6203826857316234
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,40P,2,1,1,#03: haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,H,Irregular stative with entre,Comparación,Producción,Producción,32,3136079,-0.8104941392944178,-0.41462506299167073,-1.0123483796524138,-0.23169282048295864,1.293850421433436,1.270560273931758,2.8926253228842294,0.7736823408214853,NA,1.0918735268876567
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,30P,4,1,1,#06: creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,NA,NA,F,Irregular stative with durante,Comparación,Producción,Producción,32,37118,-0.8104941392944178,-0.41462506299167073,-1.0123483796524138,-0.23169282048295864,1.293850421433436,-0.5809635080052054,-0.3410756178088555,-0.6460305520986134,NA,1.0918735268876567
