Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,14,33,0,ordenar,65158,,,1,Canonical,tratar,590952,Mood,Subjunctive,C,[–F/+F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,9,36,0,necesitar,593469,,,1,Canonical,prestar,73724,Mood,Subjunctive,B,[+F/–F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,19,38,0,valorar,113028,,,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,5,41,0,necesitar,593469,,,1,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,15,43,0,conseguir,129144,,,0,Canonical,enviar,766523,Mood,Subjunctive,C,[–F/+F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,10,46,0,esperar,1409514,,,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F]
L2L03,42,Female,L2 Learner,,25,9,0,0,30,,36,5,9,A,20,48,0,ordenar,65158,,,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,20,3,1,ordenar,65158,,,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,10,5,1,esperar,1409514,,,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,15,8,1,conseguir,129144,,,0,Canonical,enviar,766523,Mood,Subjunctive,C,[–F/+F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,5,10,1,necesitar,593469,,,1,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,19,13,1,valorar,113028,,,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,9,15,1,necesitar,593469,,,1,Canonical,prestar,73724,Mood,Subjunctive,B,[+F/–F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,14,18,1,ordenar,65158,,,1,Canonical,tratar,590952,Mood,Subjunctive,C,[–F/+F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,4,20,1,querer,1263949,,,0,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,18,23,1,desear,148807,,,1,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,8,25,1,permitir,935997,,,0,Canonical,viajar,78141,Mood,Subjunctive,B,[+F/–F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,13,28,1,valorar,113028,,,1,Canonical,quedar,947469,Mood,Subjunctive,C,[–F/+F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,3,30,1,permitir,935997,,,0,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,17,33,1,conseguir,129144,,,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,7,35,1,pedir,432187,,,0,Canonical,bailar,29935,Mood,Subjunctive,B,[+F/–F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,12,38,1,sugerir,88224,,,0,Canonical,dejar,696519,Mood,Subjunctive,C,[–F/+F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,2,40,1,pedir,432187,,,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,16,43,1,sugerir,88224,,,0,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,6,45,1,querer,1263949,,,0,Canonical,robar,28182,Mood,Subjunctive,B,[+F/–F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,11,48,1,desear,148807,,,1,Canonical,tomar,506707,Mood,Subjunctive,C,[–F/+F]
L2L04,33,Male,L2 Learner,,25,9,0,1.33,37,0,49,14,16,B,1,50,1,esperar,1409514,,,1,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F]
L2L05,47,Male,L2 Learner,,20,14,0,0,31,3,39,10,10,B,20,3,0,ordenar,65158,,,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F]
L2L05,47,Male,L2 Learner,,20,14,0,0,31,3,39,10,10,B,10,5,1,esperar,1409514,,,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F]
L2L05,47,Male,L2 Learner,,20,14,0,0,31,3,39,10,10,B,15,8,0,conseguir,129144,,,0,Canonical,enviar,766523,Mood,Subjunctive,C,[–F/+F]
L2L05,47,Male,L2 Learner,,20,14,0,0,31,3,39,10,10,B,5,10,1,necesitar,593469,,,1,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F]
L2L05,47,Male,L2 Learner,,20,14,0,0,31,3,39,10,10,B,19,13,0,valorar,113028,,,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F]
L2L05,47,Male,L2 Learner,,20,14,0,0,31,3,39,10,10,B,9,15,0,necesitar,593469,,,1,Canonical,prestar,73724,Mood,Subjunctive,B,[+F/–F]
