Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition,FofA,Token_Differential,FofA_Std,AoA_ENG_Std,DELE_Std,Token_Lemma_Std,Token_Differential_Std,Token_Pret_Std,LOR_Std
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,27,17,0,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,F,Irregular stative with durante,25,1306223,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,1.8494016548925911,0.9631253957821407,1.027600259362691,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,36,20,0,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,H,Irregular stative with entre,25,-264072,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,1.3050469314682414,-0.681251222764448,2.342509019534621,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,23,22,0,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,ASPT,E,Regular stative with durante,25,-11415,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,-0.6831369150367118,-0.4166746538317791,-0.6104251328365753,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,33,25,0,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,ASPT,G,Regular stative with entre,25,-11415,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,-0.6831369150367118,-0.4166746538317791,-0.6104251328365753,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,28,27,0,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,F,Irregular stative with durante,25,37118,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,-0.5933402405931364,-0.36585201832194075,-0.6600002336459806,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,38,30,0,haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,H,Irregular stative with entre,25,3136079,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,1.2157100006780948,2.879308292439894,0.796907968085389,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,24,32,0,doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,ASPT,E,Regular stative with durante,25,-5228,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,-0.7117892033879999,-0.4101957704761372,-0.6919658347291896,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,34,35,0,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,ASPT,G,Regular stative with entre,25,9386,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,-0.709100399596735,-0.39489232755398573,-0.7009918689672618,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,29,37,0,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,F,Irregular stative with durante,25,-264072,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,1.3050469314682414,-0.681251222764448,2.342509019534621,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,39,40,0,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,H,Irregular stative with entre,25,37118,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,-0.5933402405931364,-0.36585201832194075,-0.6600002336459806,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,25,42,0,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,ASPT,E,Regular stative with durante,25,9386,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,-0.709100399596735,-0.39489232755398573,-0.7009918689672618,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,35,45,0,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,ASPT,G,Regular stative with entre,25,-95053,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,-0.5775901576033053,-0.5042584337088083,-0.3760768388423106,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,30,47,0,haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,F,Irregular stative with durante,25,3136079,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,1.2157100006780948,2.879308292439894,0.796907968085389,-0.7117341449568393
L2L02,40,Female,L2 Learner,L2 Learner,02,18,10,0,0,30,0,26,11,14,B,40,50,0,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,H,Irregular stative with entre,25,-4995,0.38576578158550195,-0.23809093412600632,-1.7315106857458098,-0.7158964999942513,-0.4099517782631318,-0.6995279877174334,-0.7117341449568393
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,NA,36,5,9,A,21,2,1,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,ASPT,E,Regular stative with durante,14,-95053,-0.6721350874142937,-0.23809093412600632,-0.21590964541084626,-0.5775901576033053,-0.5042584337088083,-0.3760768388423106,-0.7117341449568393
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,NA,36,5,9,A,31,5,0,doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,ASPT,G,Regular stative with entre,14,-5228,-0.6721350874142937,-0.23809093412600632,-0.21590964541084626,-0.7117892033879999,-0.4101957704761372,-0.6919658347291896,-0.7117341449568393
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,NA,36,5,9,A,26,7,0,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,F,Irregular stative with durante,14,-4995,-0.6721350874142937,-0.23809093412600632,-0.21590964541084626,-0.7158964999942513,-0.4099517782631318,-0.6995279877174334,-0.7117341449568393
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,NA,36,5,9,A,37,10,0,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,H,Irregular stative with entre,14,1306223,-0.6721350874142937,-0.23809093412600632,-0.21590964541084626,1.8494016548925911,0.9631253957821407,1.027600259362691,-0.7117341449568393
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,NA,36,5,9,A,22,12,0,gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,ASPT,E,Regular stative with durante,14,-34938,-0.6721350874142937,-0.23809093412600632,-0.21590964541084626,-0.5921720104390795,-0.4413073955765286,-0.5696037162652742,-0.7117341449568393
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,NA,36,5,9,A,32,15,0,gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,ASPT,G,Regular stative with entre,14,-34938,-0.6721350874142937,-0.23809093412600632,-0.21590964541084626,-0.5921720104390795,-0.4413073955765286,-0.5696037162652742,-0.7117341449568393
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,NA,36,5,9,A,27,17,0,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,F,Irregular stative with durante,14,1306223,-0.6721350874142937,-0.23809093412600632,-0.21590964541084626,1.8494016548925911,0.9631253957821407,1.027600259362691,-0.7117341449568393
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,NA,36,5,9,A,36,20,0,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,ASPT,H,Irregular stative with entre,14,-264072,-0.6721350874142937,-0.23809093412600632,-0.21590964541084626,1.3050469314682414,-0.681251222764448,2.342509019534621,-0.7117341449568393
