Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,LF_Std,TF_Std,LOR_Std,DELE_Std
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,26,7,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.949610754053892,1.197937185064565,-1.0016941207826227,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,38,10,1,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.949610754053892,-0.7441696040487679,-1.0016941207826227,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,22,12,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.949610754053892,-0.7373365597838423,0.9971819851034218,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,32,15,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.949610754053892,-0.7373365597838423,0.9971819851034218,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,27,17,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.949610754053892,1.8350736118813393,-1.0016941207826227,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,37,20,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.949610754053892,1.287759754902521,-1.0016941207826227,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,23,22,0,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.949610754053892,-0.6051114229744164,0.9971819851034218,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,33,25,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.949610754053892,-0.7112319367068807,0.9971819851034218,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,28,27,1,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.949610754053892,-0.7441696040487679,-1.0016941207826227,-0.5782582724365801,-0.5822536700563445
L2L03,42,Female,L2 Learner,NA,25,9,0,0,30,NA,36,5,9,A,38,30,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.949610754053892,-0.6209471240310251,-1.0016941207826227,-0.5782582724365801,-0.5822536700563445
