Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,37P,32,1,#10: excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,23,-4995,-0.877104866081135,-1.2029694585460364,-0.47280277147310024,-0.3286959015920166,1.2884944020168663,-0.6619440063522345,NA,NA,NA,-0.06382059977061168
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,27P,34,0,#01: estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,23,1306223,-0.877104866081135,-1.2029694585460364,-0.47280277147310024,-0.3286959015920166,1.2884944020168663,2.00206365684644,NA,NA,NA,-0.06382059977061168
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,32P,37,1,#08: amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,23,9386,-0.877104866081135,-1.2029694585460364,-0.47280277147310024,-0.3286959015920166,1.2884944020168663,-0.6548864003954525,NA,NA,NA,-0.06382059977061168
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,22P,39,0,#08: amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,23,9386,-0.877104866081135,-1.2029694585460364,-0.47280277147310024,-0.3286959015920166,1.2884944020168663,-0.6548864003954525,NA,NA,NA,-0.06382059977061168
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,36P,42,0,#02: tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,23,-264072,-0.877104866081135,-1.2029694585460364,-0.47280277147310024,-0.3286959015920166,1.2884944020168663,1.4367628352096544,NA,NA,NA,-0.06382059977061168
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,26P,44,1,#03: haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,23,3136079,-0.877104866081135,-1.2029694585460364,-0.47280277147310024,-0.3286959015920166,1.2884944020168663,1.3439883295334911,NA,NA,NA,-0.06382059977061168
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,31P,47,0,#05: gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,23,-34938,-0.877104866081135,-1.2029694585460364,-0.47280277147310024,-0.3286959015920166,1.2884944020168663,-0.5334587510720891,NA,NA,NA,-0.06382059977061168
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,B,21P,49,1,#08: amar,65158,NA,NA,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,23,NA,-0.877104866081135,-1.2029694585460364,-0.47280277147310024,-0.3286959015920166,1.2884944020168663,-0.6588542322348897,NA,NA,NA,-0.06382059977061168
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,B,40P,2,1,#03: haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,25,3136079,-0.5492307510564983,-0.5501182647896474,-0.47280277147310024,-0.3286959015920166,0.10393854842936016,1.3439883295334911,NA,NA,NA,-0.47202378661510824
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,B,30P,4,1,#06: creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,25,37118,-0.5492307510564983,-0.5501182647896474,-0.47280277147310024,-0.3286959015920166,0.10393854842936016,-0.5346719332812832,NA,NA,NA,-0.47202378661510824
